TERRITORY,Bodily Injury(AA)20/40,"Property Damage(BB/BV)$100,000",PIP(VA-01),Collision(DD)$100 DED.,Comprehensive(HH)$50 DED.,UM(SS)20/40,UIM(SU)20/40,Unnamed: 0,Unnamed: 1
8617,359.49,141.37,"5,935.15",704.58,111.15,20.50,20.50,21.74,21.74
8618,331.79,141.37,"5,935.15",704.58,111.15,20.50,20.50,21.74,21.74
8619,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,20.99,20.99
8620,359.49,141.37,"5,935.15",704.58,111.15,20.50,20.50,21.74,21.74
8621,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8622,331.79,141.37,"5,935.15",704.58,111.15,20.50,20.50,21.74,21.74
8623,331.79,147.87,"5,935.15",724.73,111.15,20.50,20.50,21.74,21.74
8624,632.23,141.37,"7,627.19",771.16,142.86,18.48,18.48,20.11,20.11
8625,331.79,141.37,"5,935.15",704.58,111.15,20.50,20.50,21.74,21.74
8626,336.11,125.52,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8627,359.49,141.37,"5,935.15",741.59,111.15,20.50,20.50,20.99,20.99
8628,359.49,141.37,"5,935.15",704.58,111.15,20.50,20.50,21.74,21.74
8629,359.49,141.37,"5,935.15",741.59,111.15,20.50,20.50,20.99,20.99
8630,359.49,141.37,"5,935.15",741.59,111.15,20.50,20.50,20.99,20.99
8631,686.43,141.37,"8,386.37",771.16,129.25,18.48,18.48,20.11,20.11
8632,331.79,141.37,"5,935.15",704.58,111.15,20.50,20.50,21.74,21.74
8633,331.79,141.37,"5,935.15",704.58,111.15,20.50,20.50,21.74,21.74
8634,686.43,141.37,"8,386.37",771.16,129.25,18.48,18.48,20.11,20.11
8635,686.43,141.37,"8,386.37",771.16,142.86,18.48,18.48,20.11,20.11
8636,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,20.99,20.99
8637,336.11,116.23,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8638,331.79,147.87,"5,935.15",724.73,111.15,20.50,20.50,21.74,21.74
8640,331.79,147.87,"5,935.15",724.73,111.15,20.50,20.50,21.74,21.74
8642,331.79,147.87,"5,935.15",704.58,111.15,20.50,20.50,21.74,21.74
8647,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,20.99,20.99
8649,385.39,130.15,"6,028.92",818.70,107.56,29.42,29.42,30.13,30.13
8650,686.43,141.37,"8,386.37",771.16,129.25,18.48,18.48,20.11,20.11
8651,359.49,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8652,686.43,141.37,"8,386.37",771.16,129.25,18.48,18.48,20.11,20.11
8653,359.49,141.37,"5,935.15",741.59,111.15,20.50,20.50,20.99,20.99
8654,686.43,141.37,"8,386.37",771.16,142.86,18.48,18.48,20.11,20.11
8655,336.11,125.52,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8656,359.49,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8657,331.79,147.87,"5,935.15",704.58,111.15,20.50,20.50,21.74,21.74
8658,686.43,141.37,"8,386.37",771.16,129.25,18.48,18.48,20.11,20.11
8659,686.43,141.37,"8,386.37",771.16,129.25,18.48,18.48,20.11,20.11
8661,686.43,141.37,"8,386.37",771.16,142.86,18.48,18.48,20.11,20.11
8662,336.11,116.23,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8701,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8703,686.43,141.37,"8,386.37",771.16,129.25,18.48,18.48,20.11,20.11
8705,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8706,331.79,147.87,"5,935.15",724.73,111.15,20.50,20.50,21.74,21.74
8708,480.48,147.87,"7,003.37",866.26,107.10,28.06,28.06,30.13,30.13
8720,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8721,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8722,371.49,113.57,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8723,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8724,331.79,147.87,"5,935.15",724.73,111.15,20.50,20.50,21.74,21.74
8725,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8726,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8727,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8728,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8729,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8730,686.43,141.37,"8,386.37",771.16,142.86,18.48,18.48,20.11,20.11
8731,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8732,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8733,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8734,371.49,125.52,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
8735,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8736,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8737,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8738,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8739,686.43,141.37,"8,386.37",771.16,142.86,18.48,18.48,20.11,20.11
8740,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8741,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8742,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8743,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8744,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8745,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8746,480.48,139.70,"7,003.37",866.26,107.10,28.06,28.06,30.13,30.13
8747,480.48,147.87,"7,003.37",866.26,107.10,28.06,28.06,30.13,30.13
8748,686.43,141.37,"8,386.37",771.16,142.86,18.48,18.48,20.11,20.11
8749,686.43,141.37,"8,386.37",771.16,129.25,18.48,18.48,20.11,20.11
8750,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8754,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8755,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8756,686.43,141.37,"8,386.37",771.16,142.86,18.48,18.48,20.11,20.11
8757,480.48,147.87,"7,003.37",866.26,107.10,28.06,28.06,30.13,30.13
8758,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8759,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8760,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8761,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8762,331.79,141.37,"5,935.15",741.59,111.15,20.50,20.50,21.74,21.74
8763,686.43,141.37,"8,386.37",771.16,142.86,18.48,18.48,20.11,20.11
8765,686.43,141.37,"8,386.37",771.16,129.25,18.48,18.48,20.11,20.11
8766,686.43,141.37,"8,386.37",771.16,129.25,18.48,18.48,20.11,20.11
8767,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8768,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8769,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8770,686.43,141.37,"8,386.37",771.16,142.86,18.48,18.48,20.11,20.11
8801,336.11,116.23,"4,825.37",723.33,111.15,18.48,18.48,20.11,20.11
8806,336.11,113.57,"4,478.90",724.73,111.15,18.48,18.48,20.11,20.11
8807,336.11,113.57,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8808,371.49,113.57,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8809,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8811,431.79,147.87,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8812,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8813,523.52,145.50,"5,904.74",761.38,116.04,23.23,23.23,24.54,24.54
8815,431.79,152.09,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8816,441.41,133.29,"8,253.13",923.33,114.81,32.15,32.15,33.60,33.60
8817,385.39,130.15,"6,028.92",820.67,107.56,29.42,29.42,30.13,30.13
8818,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8819,523.52,145.50,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
8820,371.49,125.52,"4,825.37",724.73,111.15,18.48,18.48,18.94,18.94
8821,336.11,125.52,"4,478.90",760.49,111.15,18.48,18.48,18.94,18.94
8822,371.49,113.57,"4,478.90",724.73,111.15,18.48,18.48,18.94,18.94
8823,502.33,164.97,"6,028.92",781.49,104.79,23.23,23.23,24.54,24.54
8824,528.82,154.63,"7,112.82",818.70,116.41,23.23,23.23,24.54,24.54
8825,528.82,154.63,"7,112.82",818.70,116.41,23.23,23.23,24.54,24.54
8827,523.52,145.50,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
8829,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8830,336.11,113.57,"4,825.37",724.73,111.15,18.48,18.48,18.94,18.94
8831,348.69,130.15,"6,028.92",818.70,107.56,29.42,29.42,30.13,30.13
8832,336.11,113.57,"4,478.90",723.33,111.15,18.48,18.48,20.11,20.11
8833,371.49,113.57,"4,478.90",724.73,111.15,18.48,18.48,20.11,20.11
8834,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8835,366.23,167.45,"6,173.49",720.75,130.05,17.12,17.12,18.94,18.94
8836,385.39,140.23,"5,671.48",818.70,107.56,29.42,29.42,30.13,30.13
8837,371.49,125.52,"4,478.90",724.73,111.15,18.48,18.48,18.94,18.94
8838,431.79,152.09,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8840,385.39,140.23,"6,028.92",818.70,107.56,29.42,29.42,30.13,30.13
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
8841,348.69,130.15,"6,028.92",818.70,107.56,29.42,29.42,30.13,30.13
8842,502.33,140.23,"5,314.75",780.66,111.25,23.23,23.23,24.54,24.54
8843,441.41,137.00,"5,929.09",867.90,114.81,32.15,32.15,33.60,33.60
8845,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8846,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8847,336.11,125.52,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8848,523.52,145.50,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
8849,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8850,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8851,366.23,167.45,"6,173.49",724.73,130.05,17.12,17.12,18.94,18.94
8852,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8853,371.49,113.57,"4,478.90",724.73,111.15,18.48,18.48,20.11,20.11
8854,502.33,140.23,"5,248.14",777.68,110.88,23.23,23.23,24.54,24.54
8855,441.41,133.29,"7,636.31",923.33,114.81,32.15,32.15,33.60,33.60
8856,336.11,125.52,"4,478.90",724.73,111.15,18.48,18.48,20.11,20.11
8857,385.39,140.23,"5,671.48",818.70,107.56,29.42,29.42,30.13,30.13
8858,336.11,116.23,"4,825.37",723.33,111.15,18.48,18.48,20.11,20.11
8859,336.11,116.23,"4,825.37",723.33,111.15,18.48,18.48,20.11,20.11
8860,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8861,366.23,167.45,"6,173.49",724.73,130.05,17.12,17.12,18.94,18.94
8862,336.11,125.52,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8863,441.41,147.08,"8,253.13",923.33,114.81,32.15,32.15,33.60,33.60
8864,385.39,140.23,"5,671.48",818.70,107.56,29.42,29.42,30.13,30.13
8865,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8866,385.39,130.15,"5,671.48",818.70,107.56,29.42,29.42,30.13,30.13
8867,385.39,130.15,"6,028.92",818.70,107.56,29.42,29.42,30.13,30.13
8870,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8871,336.11,113.57,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8872,385.39,140.23,"5,671.48",818.70,107.56,29.42,29.42,30.13,30.13
8873,366.23,167.45,"6,173.49",720.75,130.05,17.12,17.12,18.94,18.94
8874,336.11,113.57,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8875,404.78,167.45,"5,198.73",724.73,130.05,17.12,17.12,18.94,18.94
8876,523.52,145.50,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
8877,336.11,113.57,"4,825.37",724.73,111.15,18.48,18.48,18.94,18.94
8878,336.11,113.57,"4,825.37",723.33,111.15,18.48,18.48,20.11,20.11
8879,371.49,113.57,"4,478.90",724.73,111.15,18.48,18.48,20.11,20.11
8880,336.11,116.23,"4,825.37",723.33,111.15,18.48,18.48,20.11,20.11
8881,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8882,523.52,145.50,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
8883,336.11,116.23,"4,825.37",724.73,111.15,18.48,18.48,20.11,20.11
8884,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8885,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8886,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8887,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8888,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8889,336.11,116.23,"4,478.90",723.33,111.15,18.48,18.48,20.11,20.11
8890,366.23,167.45,"6,173.49",724.73,130.05,17.12,17.12,18.94,18.94
8891,431.79,137.61,"7,181.21",866.26,123.05,28.06,28.06,30.13,30.13
8892,385.39,140.23,"6,028.92",818.70,107.56,29.42,29.42,30.13,30.13
8893,336.11,116.23,"4,825.37",723.33,111.15,18.48,18.48,20.11,20.11
8894,336.11,113.57,"4,478.90",723.33,111.15,18.48,18.48,18.94,18.94
8895,385.39,140.23,"6,028.92",818.70,107.56,29.42,29.42,30.13,30.13
8896,336.11,116.23,"4,825.37",723.33,111.15,18.48,18.48,20.11,20.11
8897,366.23,167.45,"6,173.49",724.73,130.05,17.12,17.12,18.94,18.94
8906,528.82,154.63,"7,112.82",818.70,116.41,23.23,23.23,24.54,24.54
8910,502.33,140.93,"4,880.70",777.68,104.79,23.23,23.23,24.54,24.54
8911,502.33,146.73,"6,028.92",793.17,104.79,23.23,23.23,24.54,24.54
8912,528.82,154.63,"7,112.82",818.70,116.41,23.23,23.23,24.54,24.54
8915,528.82,154.63,"7,112.82",818.70,116.41,23.23,23.23,24.54,24.54
8917,371.49,125.09,"3,307.28",737.91,100.55,18.48,18.48,18.94,18.94
8933,528.82,154.63,"7,112.82",818.70,116.41,23.23,23.23,24.54,24.54
9001,431.79,152.09,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9002,393.07,136.52,"6,028.92",835.06,118.16,28.06,28.06,33.30,33.30
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
9004,366.23,176.92,"6,173.49",796.62,118.84,18.91,18.91,20.11,20.11
9006,431.79,152.09,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9007,431.79,147.95,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9008,431.79,152.09,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9009,431.79,139.74,"6,965.63",819.59,114.47,28.06,28.06,33.30,33.30
9010,397.45,147.08,"6,028.92",819.59,99.63,13.59,13.59,13.19,13.19
9011,366.23,167.45,"6,173.49",796.62,130.05,18.91,18.91,20.11,20.11
9012,366.23,167.45,"6,173.49",796.62,118.84,18.91,18.91,20.11,20.11
9013,486.09,176.92,"7,345.36",856.89,105.73,38.26,38.26,39.20,39.20
9014,366.23,167.45,"6,173.49",796.62,130.05,18.91,18.91,20.11,20.11
9015,384.45,157.11,"5,056.26",756.68,117.97,18.91,18.91,20.11,20.11
9017,366.23,167.45,"6,173.49",796.62,118.84,18.91,18.91,20.11,20.11
9020,366.23,167.45,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9021,528.82,154.63,"7,112.82",835.06,116.41,23.23,23.23,24.54,24.54
9022,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9024,431.79,152.09,"7,181.21",819.59,113.83,28.06,28.06,33.30,33.30
9026,397.45,147.08,"6,028.92",819.59,99.63,13.59,13.59,13.19,13.19
9027,397.45,147.08,"6,028.92",819.59,99.63,13.59,13.59,13.19,13.19
9028,366.23,167.45,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9029,366.23,167.45,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9030,366.23,167.45,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9031,404.78,176.92,"6,173.49",724.73,118.84,17.12,17.12,18.94,18.94
9032,366.23,167.45,"6,173.49",724.73,118.84,18.91,18.91,20.11,20.11
9033,366.23,167.45,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9034,431.79,147.95,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9035,431.79,152.09,"7,181.21",866.26,123.05,28.06,28.06,33.30,33.30
9036,523.52,147.95,"6,615.02",761.38,116.04,23.23,23.23,27.11,27.11
9037,384.45,157.11,"5,056.26",756.68,117.97,18.91,18.91,20.11,20.11
9038,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9039,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9040,366.23,167.45,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9041,431.79,152.09,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9042,366.23,176.92,"6,173.49",724.73,118.84,18.91,18.91,20.11,20.11
9043,486.09,176.92,"7,345.36",856.89,105.73,38.26,38.26,39.20,39.20
9045,490.41,176.92,"7,651.16",856.89,118.84,38.26,38.26,39.20,39.20
9046,366.23,176.92,"6,173.49",796.62,130.05,18.91,18.91,20.11,20.11
9047,404.78,176.92,"6,173.49",720.75,118.84,17.12,17.12,18.94,18.94
9048,366.23,167.45,"6,173.49",796.62,118.84,18.91,18.91,20.11,20.11
9050,366.23,167.45,"6,173.49",796.62,130.05,18.91,18.91,20.11,20.11
9051,366.23,167.45,"6,173.49",796.62,118.84,18.91,18.91,20.11,20.11
9052,431.79,147.95,"7,181.21",866.26,123.05,28.06,28.06,33.30,33.30
9053,366.23,167.45,"6,173.49",796.62,118.84,18.91,18.91,20.11,20.11
9055,359.60,147.08,"5,560.63",819.59,99.63,13.59,13.59,13.19,13.19
9056,397.45,147.08,"6,028.92",819.59,99.63,13.59,13.59,13.19,13.19
9057,486.09,198.56,"6,375.77",724.73,83.41,24.60,24.60,24.54,24.54
9058,431.79,152.09,"7,181.21",866.26,123.05,28.06,28.06,33.30,33.30
9060,366.23,176.92,"6,173.49",796.62,130.05,18.91,18.91,20.11,20.11
9061,366.23,176.92,"6,173.49",724.73,118.84,17.12,17.12,18.94,18.94
9062,359.60,147.08,"5,560.63",819.59,99.63,13.59,13.59,13.19,13.19
9063,397.45,147.08,"6,028.92",819.59,99.63,13.59,13.59,13.19,13.19
9064,486.09,176.92,"7,345.36",856.89,116.87,38.26,38.26,39.20,39.20
9065,451.33,176.92,"7,345.36",856.89,116.87,38.26,38.26,39.20,39.20
9066,366.23,167.45,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9067,490.41,176.92,"7,651.16",856.89,118.84,38.26,38.26,39.20,39.20
9068,366.23,167.45,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9070,431.79,152.09,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9071,431.79,152.09,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9072,366.23,167.45,"6,173.49",796.62,118.84,18.91,18.91,20.11,20.11
9073,366.23,167.45,"6,173.49",724.73,130.05,17.12,17.12,18.94,18.94
9074,366.23,176.92,"6,173.49",796.62,118.84,18.91,18.91,20.11,20.11
9075,366.23,176.92,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9076,366.23,167.45,"6,173.49",724.73,130.05,17.12,17.12,18.94,18.94
9077,431.79,152.09,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
9078,366.58,146.60,"6,028.92",819.59,117.15,28.06,28.06,30.13,30.13
9079,359.60,147.08,"5,560.63",806.89,99.63,13.59,13.59,13.19,13.19
9080,431.79,152.09,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9081,431.79,152.09,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9082,366.23,167.45,"6,173.49",724.73,130.05,17.12,17.12,18.94,18.94
9083,366.23,176.92,"6,173.49",796.62,118.84,18.91,18.91,20.11,20.11
9084,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9085,486.09,198.56,"5,744.92",704.58,83.41,24.60,24.60,24.54,24.54
9087,366.23,176.92,"6,173.49",724.73,118.84,18.91,18.91,20.11,20.11
9088,431.79,147.95,"7,181.21",866.26,118.84,28.06,28.06,33.30,33.30
9089,366.23,167.45,"6,173.49",796.62,130.05,18.91,18.91,20.11,20.11
9090,486.09,176.92,"7,345.36",856.89,105.73,38.26,38.26,39.20,39.20
9091,366.23,176.92,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9092,528.82,154.63,"7,112.82",818.70,116.41,23.23,23.23,24.54,24.54
9093,366.23,167.45,"6,173.49",724.73,118.84,18.91,18.91,20.11,20.11
9094,366.23,167.45,"6,173.49",724.73,130.05,18.91,18.91,20.11,20.11
9095,404.78,176.92,"6,173.49",724.73,118.84,18.91,18.91,20.11,20.11
9096,366.23,167.45,"6,173.49",796.62,130.05,17.12,17.12,18.94,18.94
9097,366.23,176.92,"6,173.49",796.62,118.84,18.91,18.91,20.11,20.11
9098,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9099,404.78,176.92,"6,173.49",724.73,118.84,17.12,17.12,18.94,18.94
9101,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9102,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9103,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9106,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9107,404.78,176.92,"6,173.49",720.75,117.67,17.12,17.12,18.94,18.94
9111,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9112,404.78,176.92,"6,173.49",720.75,117.67,17.12,17.12,18.94,18.94
9113,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9115,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9116,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9117,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9119,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9120,404.78,176.92,"6,173.49",720.75,117.67,17.12,17.12,18.94,18.94
9125,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9126,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9127,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9128,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9129,486.09,198.56,"6,375.77",704.58,83.41,24.60,24.60,24.54,24.54
9130,404.78,176.92,"6,173.49",720.75,117.67,17.12,17.12,18.94,18.94
9201,404.78,167.45,"6,173.49",760.49,130.05,17.12,17.12,18.94,18.94
9202,404.78,167.45,"6,173.49",760.49,130.05,17.12,17.12,18.94,18.94
9203,404.78,167.45,"6,173.49",760.49,130.05,17.12,17.12,18.94,18.94
9220,366.23,185.08,"6,823.34",760.49,120.23,17.12,17.12,18.94,18.94
9221,390.73,185.08,"6,823.34",760.49,117.67,17.12,17.12,20.11,20.11
9224,366.23,167.45,"6,823.34",724.73,130.05,17.12,17.12,18.94,18.94
9227,523.52,160.82,"7,003.37",761.38,116.04,23.23,23.23,24.54,24.54
9228,527.19,160.82,"7,003.37",761.38,114.81,23.23,23.23,24.54,24.54
9229,527.19,160.82,"7,003.37",841.52,104.99,23.23,23.23,24.54,24.54
9230,523.52,148.65,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
9232,523.52,160.82,"7,003.37",761.38,116.04,23.23,23.23,24.54,24.54
9233,366.23,167.45,"6,823.34",760.49,120.23,17.12,17.12,18.94,18.94
9234,390.73,167.45,"6,173.49",760.49,120.23,17.12,17.12,18.94,18.94
9235,390.73,185.08,"6,823.34",760.49,120.23,17.12,17.12,18.94,18.94
9236,523.52,148.65,"7,003.37",841.52,114.81,23.23,23.23,24.54,24.54
9237,366.23,185.08,"6,823.34",724.73,130.05,17.12,17.12,18.94,18.94
9238,527.19,160.82,"7,003.37",841.52,114.81,23.23,23.23,24.54,24.54
9239,523.52,160.82,"7,003.37",761.38,116.04,23.23,23.23,24.54,24.54
9240,523.52,148.65,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
9241,366.23,185.08,"6,823.34",724.73,130.05,17.12,17.12,18.94,18.94
9242,523.52,160.82,"7,003.37",761.38,116.04,23.23,23.23,24.54,24.54
9245,366.23,167.45,"6,823.34",724.73,130.05,17.12,17.12,18.94,18.94
9246,366.23,167.45,"6,823.34",724.73,130.05,17.12,17.12,18.94,18.94
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
9247,390.73,185.08,"6,823.34",724.73,120.23,17.12,17.12,18.94,18.94
9248,523.52,160.82,"7,003.37",761.38,114.81,23.23,23.23,24.54,24.54
9249,523.52,148.65,"7,003.37",761.38,116.04,23.23,23.23,24.54,24.54
9250,366.23,185.08,"6,823.34",724.73,130.05,17.12,17.12,18.94,18.94
9251,523.52,145.50,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
9252,366.23,185.08,"6,173.49",724.73,130.05,17.12,17.12,18.94,18.94
9253,523.52,160.82,"7,003.37",761.38,116.04,23.23,23.23,24.54,24.54
9254,404.78,167.45,"6,173.49",760.49,130.05,17.12,17.12,18.94,18.94
9255,523.52,147.95,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
9256,523.52,160.82,"7,003.37",761.38,116.04,23.23,23.23,24.54,24.54
9257,366.23,185.08,"6,823.34",724.73,130.05,17.12,17.12,18.94,18.94
9258,366.23,185.08,"6,823.34",724.73,130.05,17.12,17.12,18.94,18.94
9259,523.52,145.50,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
9261,404.78,167.45,"6,173.49",760.49,130.05,17.12,17.12,18.94,18.94
9262,523.52,160.82,"7,003.37",761.38,116.04,23.23,23.23,24.54,24.54
9263,523.52,148.65,"6,615.02",761.38,116.04,23.23,23.23,24.54,24.54
